Orgs,,label
orbit exports limited    ,ORBIT EXPORTS LIMITED    ,1
national disaster management authority ndma,National Disaster Management Authority NDMA,0
dalmia bharat sug in ltd ,DALMIA BHARAT SUG IN LTD ,1
sharda cropchem ltd.     ,SHARDA CROPCHEM LTD.     ,1
national agricultural cooperative marketing federation of india (nafed),National Agricultural Cooperative Marketing Federation of India (NAFED),0
uniply industries limited,UNIPLY INDUSTRIES LIMITED,1
essel propack ltd        ,ESSEL PROPACK LTD        ,1
icici securities limited ,ICICI SECURITIES LIMITED ,1
hsg & urban dev corpn ltd,HSG & URBAN DEV CORPN LTD,1
hindustan construction co,HINDUSTAN CONSTRUCTION CO,1
mukand ltd.              ,MUKAND LTD.              ,1
quess corp limited       ,QUESS CORP LIMITED       ,1
customs excise and service tax appellate tribunal (cestat),Customs Excise and Service Tax Appellate Tribunal (CESTAT),0
v2 retail limited        ,V2 RETAIL LIMITED        ,1
jaypee infratech ltd     ,JAYPEE INFRATECH LTD     ,1
bajaj consumer care ltd  ,BAJAJ CONSUMER CARE LTD  ,1
aptech limited           ,APTECH LIMITED           ,1
eimco elecon (india) ltd ,EIMCO ELECON (INDIA) LTD ,1
euro multivision ltd     ,EURO MULTIVISION LTD     ,1
sundaram finance ltd     ,SUNDARAM FINANCE LTD     ,1
jai balaji industries ltd,JAI BALAJI INDUSTRIES LTD,1
canara bank              ,CANARA BANK              ,1
piramal enterprises ltd  ,PIRAMAL ENTERPRISES LTD  ,1
mit accreditation of computer courses,MIT Accreditation of Computer Courses,0
directorate general of income tax investigation,Directorate General of Income Tax Investigation,0
national research development corporationnational research development corporation,National Research Development CorporationNational Research Development Corporation,0
bharati def & infra ltd  ,BHARATI DEF & INFRA LTD  ,1
india nippon elect  ltd  ,INDIA NIPPON ELECT  LTD  ,1
bannari amman sugars ltd ,BANNARI AMMAN SUGARS LTD ,1
ncc limited              ,NCC LIMITED              ,1
"homi bhabha national institute, mumbai","Homi Bhabha National Institute, Mumbai",0
bombay dyeing & mfg. co l,BOMBAY DYEING & MFG. CO L,1
guj state fert & chem ltd,GUJ STATE FERT & CHEM LTD,1
indian olympic association (ioa),Indian Olympic Association (IOA),0
nahar cap & fin.         ,NAHAR CAP & FIN.         ,1
rainbow papers ltd       ,RAINBOW PAPERS LTD       ,1
central pollution control board,Central Pollution Control Board,0
srikalahasthi pipes ltd  ,SRIKALAHASTHI PIPES LTD  ,1
nandan denim limited     ,NANDAN DENIM LIMITED     ,1
century extrusions ltd   ,CENTURY EXTRUSIONS LTD   ,1
ppap automotive limited  ,PPAP AUTOMOTIVE LIMITED  ,1
star cement limited      ,STAR CEMENT LIMITED      ,1
adani power ltd          ,ADANI POWER LTD          ,1
alkali metals ltd        ,ALKALI METALS LTD        ,1
hindustan petroleum corp ,HINDUSTAN PETROLEUM CORP ,1
national commission for women (ncw),National Commission for Women (NCW),0
fdc limited              ,FDC LIMITED              ,1
gvk pow. & infra ltd.    ,GVK POW. & INFRA LTD.    ,1
shakti pumps (i) ltd     ,SHAKTI PUMPS (I) LTD     ,1
sanghvi movers ltd       ,SANGHVI MOVERS LTD       ,1
indosolar limited        ,INDOSOLAR LIMITED        ,1
cura technologies ltd    ,CURA TECHNOLOGIES LTD    ,1
